,index,score
0,"(1, 0, 0, 0)",1
1,"(1, 0, 0, 1)",2
2,"(1, 0, 1, 0)",2
3,"(1, 0, 1, 1)",2
4,"(1, 0, 2, 0)",2
5,"(1, 0, 2, 1)",3
6,"(1, 0, 3, 0)",3
7,"(1, 0, 3, 1)",3
8,"(1, 1, 0, 0)",2
9,"(1, 1, 0, 1)",2
10,"(1, 1, 1, 0)",2
11,"(1, 1, 1, 1)",2
12,"(1, 1, 2, 0)",3
13,"(1, 1, 2, 1)",3
14,"(1, 1, 3, 0)",3
15,"(1, 1, 3, 1)",3
16,"(1, 2, 0, 0)",2
17,"(1, 2, 0, 1)",3
18,"(1, 2, 1, 0)",3
19,"(1, 2, 1, 1)",3
20,"(1, 2, 2, 0)",3
21,"(1, 2, 2, 1)",3
22,"(1, 2, 3, 0)",4
23,"(1, 2, 3, 1)",4
24,"(2, 0, 0, 0)",2
25,"(2, 0, 0, 1)",3
26,"(2, 0, 1, 0)",3
27,"(2, 0, 1, 1)",3
28,"(2, 0, 2, 0)",3
29,"(2, 0, 2, 1)",4
30,"(2, 0, 3, 0)",4
31,"(2, 0, 3, 1)",4
32,"(2, 1, 0, 0)",3
33,"(2, 1, 0, 1)",3
34,"(2, 1, 1, 0)",3
35,"(2, 1, 1, 1)",3
36,"(2, 1, 2, 0)",3
37,"(2, 1, 2, 1)",4
38,"(2, 1, 3, 0)",4
39,"(2, 1, 3, 1)",4
40,"(2, 2, 0, 0)",3
41,"(2, 2, 0, 1)",4
42,"(2, 2, 1, 0)",4
43,"(2, 2, 1, 1)",4
44,"(2, 2, 2, 0)",4
45,"(2, 2, 2, 1)",4
46,"(2, 2, 3, 0)",5
47,"(2, 2, 3, 1)",5
48,"(3, 0, 0, 0)",3
49,"(3, 0, 0, 1)",3
50,"(3, 0, 1, 0)",4
51,"(3, 0, 1, 1)",4
52,"(3, 0, 2, 0)",4
53,"(3, 0, 2, 1)",4
54,"(3, 0, 3, 0)",5
55,"(3, 0, 3, 1)",5
56,"(3, 1, 0, 0)",3
57,"(3, 1, 0, 1)",4
58,"(3, 1, 1, 0)",4
59,"(3, 1, 1, 1)",4
60,"(3, 1, 2, 0)",4
61,"(3, 1, 2, 1)",4
62,"(3, 1, 3, 0)",5
63,"(3, 1, 3, 1)",5
64,"(3, 2, 0, 0)",4
65,"(3, 2, 0, 1)",4
66,"(3, 2, 1, 0)",4
67,"(3, 2, 1, 1)",4
68,"(3, 2, 2, 0)",4
69,"(3, 2, 2, 1)",5
70,"(3, 2, 3, 0)",5
71,"(3, 2, 3, 1)",5
72,"(4, 0, 0, 0)",4
73,"(4, 0, 0, 1)",4
74,"(4, 0, 1, 0)",4
75,"(4, 0, 1, 1)",4
76,"(4, 0, 2, 0)",4
77,"(4, 0, 2, 1)",5
78,"(4, 0, 3, 0)",5
79,"(4, 0, 3, 1)",5
80,"(4, 1, 0, 0)",4
81,"(4, 1, 0, 1)",4
82,"(4, 1, 1, 0)",4
83,"(4, 1, 1, 1)",4
84,"(4, 1, 2, 0)",4
85,"(4, 1, 2, 1)",5
86,"(4, 1, 3, 0)",5
87,"(4, 1, 3, 1)",5
88,"(4, 2, 0, 0)",4
89,"(4, 2, 0, 1)",4
90,"(4, 2, 1, 0)",4
91,"(4, 2, 1, 1)",5
92,"(4, 2, 2, 0)",5
93,"(4, 2, 2, 1)",5
94,"(4, 2, 3, 0)",6
95,"(4, 2, 3, 1)",6
96,"(5, 0, 0, 0)",5
97,"(5, 0, 0, 1)",5
98,"(5, 0, 1, 0)",5
99,"(5, 0, 1, 1)",5
100,"(5, 0, 2, 0)",5
101,"(5, 0, 2, 1)",6
102,"(5, 0, 3, 0)",6
103,"(5, 0, 3, 1)",7
104,"(5, 1, 0, 0)",5
105,"(5, 1, 0, 1)",6
106,"(5, 1, 1, 0)",6
107,"(5, 1, 1, 1)",6
108,"(5, 1, 2, 0)",6
109,"(5, 1, 2, 1)",7
110,"(5, 1, 3, 0)",7
111,"(5, 1, 3, 1)",7
112,"(5, 2, 0, 0)",6
113,"(5, 2, 0, 1)",6
114,"(5, 2, 1, 0)",6
115,"(5, 2, 1, 1)",7
116,"(5, 2, 2, 0)",7
117,"(5, 2, 2, 1)",7
118,"(5, 2, 3, 0)",7
119,"(5, 2, 3, 1)",8
120,"(6, 0, 0, 0)",7
121,"(6, 0, 0, 1)",7
122,"(6, 0, 1, 0)",7
123,"(6, 0, 1, 1)",7
124,"(6, 0, 2, 0)",7
125,"(6, 0, 2, 1)",8
126,"(6, 0, 3, 0)",8
127,"(6, 0, 3, 1)",9
128,"(6, 1, 0, 0)",8
129,"(6, 1, 0, 1)",8
130,"(6, 1, 1, 0)",8
131,"(6, 1, 1, 1)",8
132,"(6, 1, 2, 0)",8
133,"(6, 1, 2, 1)",9
134,"(6, 1, 3, 0)",9
135,"(6, 1, 3, 1)",9
136,"(6, 2, 0, 0)",9
137,"(6, 2, 0, 1)",9
138,"(6, 2, 1, 0)",9
139,"(6, 2, 1, 1)",9
140,"(6, 2, 2, 0)",9
141,"(6, 2, 2, 1)",9
142,"(6, 2, 3, 0)",9
143,"(6, 2, 3, 1)",9
